country,date,true_val_NPI1,true_val_NPI2,true_val_NPI3,true_val_NPI4,true_val_NPI5,NPI1,NPI2,NPI3,NPI4,NPI5,I_t,C_t,Hicu_t,R_t,cf1,cf2,cf_full,weekday,rho_period,repC_t,ErepC_t,D_t,H_t,ifr_t_m,first_vaccination,second_vaccination,alpha,delta
countryA,2020-01-01,0.214906468036442,0.240893135760739,0.304598601747748,0.395575804216387,0.470288383086942,0,0,0,0,0,7,1,0,3.09804708889931,0,0,1,3,1,0,0.0071299181218752,0,0,0.007,0,0,0,0
countryA,2020-01-02,0.214906468036442,0.240893135760739,0.304598601747748,0.395575804216387,0.470288383086942,0,0,0,0,0,1,1,0,3.09804690673414,5.88e-08,0,0.9999999412,4,1,0,0.0266262326025384,0,0,0.007,0,0,0,0
countryA,2020-01-03,0.214906468036442,0.240893135760739,0.304598601747748,0.395575804216387,0.470288383086942,0,0,0,0,0,1,1,0,3.09804688071054,6.72e-08,0,0.9999999328,5,1,0,0.0636843403985154,0,0,0.007,0,0,0,0
countryA,2020-01-04,0.214906468036442,0.240893135760739,0.304598601747748,0.395575804216387,0.470288383086942,1,0,0,0,0,1,1,0,2.49893689146002,7.56e-08,0,0.9999999244,6,1,0,0.079092371102927,0,0,0.007,0,0,0,0
countryA,2020-01-05,0.214906468036442,0.240893135760739,0.304598601747748,0.395575804216387,0.470288383086942,1,0,0,0,0,1,2,0,2.49893687046895,8.4e-08,0,0.999999916,7,1,0,0.0651956293018416,0,0,0.007,0,0,0,0
countryA,2020-01-06,0.214906468036442,0.240893135760739,0.304598601747748,0.395575804216387,0.470288383086942,1,0,1,0,0,2,1,0,1.84276429681303,9.24e-08,0,0.9999999076,1,1,0,0.0995665139812344,0,0,0.007,0,0,0,0
countryA,2020-01-07,0.214906468036442,0.240893135760739,0.304598601747748,0.395575804216387,0.470288383086942,1,0,1,0,0,4,1,0,1.84276426585458,1.092e-07,0,0.9999998908,2,1,1,0.18395032535011,0,1,0.007,0,0,0,0
countryA,2020-01-08,0.214906468036442,0.240893135760739,0.304598601747748,0.395575804216387,0.470288383086942,1,0,1,0,0,3,2,0,1.8427642039377,1.428e-07,0,0.9999998572,3,1,0,0.255092717824566,0,0,0.007,0,0,0,0
countryA,2020-01-09,0.214906468036442,0.240893135760739,0.304598601747748,0.395575804216387,0.470288383086942,1,0,1,0,0,1,2,0,1.84276415750003,1.68e-07,0,0.999999832,4,1,1,0.262816189718484,0,0,0.007,0,0,0,0
countryA,2020-01-10,0.214906468036442,0.240893135760739,0.304598601747748,0.395575804216387,0.470288383086942,1,0,1,0,0,1,2,0,1.84276414202081,1.764e-07,0,0.9999998236,5,1,0,0.288371826590475,0,0,0.007,0,0,0,0
countryA,2020-01-11,0.214906468036442,0.240893135760739,0.304598601747748,0.395575804216387,0.470288383086942,1,0,1,0,0,3,2,0,1.84276412654159,1.848e-07,0,0.9999998152,6,1,0,0.255498695405253,0,0,0.007,0,0,0,0
countryA,2020-01-12,0.214906468036442,0.240893135760739,0.304598601747748,0.395575804216387,0.470288383086942,1,0,1,0,0,5,2,0,1.84276408010393,2.1e-07,0,0.99999979,7,1,0,0.173201282193799,0,0,0.007,0,0,0,0
countryA,2020-01-13,0.214906468036442,0.240893135760739,0.304598601747748,0.395575804216387,0.470288383086942,1,0,1,0,0,4,3,0,1.84276400270782,2.52e-07,0,0.999999748,1,1,0,0.245971855534939,0,0,0.007,0,0,0,0
countryA,2020-01-14,0.214906468036442,0.240893135760739,0.304598601747748,0.395575804216387,0.470288383086942,1,0,1,0,0,3,3,0,1.84276394079093,2.856e-07,0,0.9999997144,2,1,0,0.393249382277989,0,0,0.007,0,0,0,0
countryA,2020-01-15,0.214906468036442,0.240893135760739,0.304598601747748,0.395575804216387,0.470288383086942,1,0,1,0,0,4,3,0,1.84276389435327,3.108e-07,0,0.9999996892,3,1,0,0.526525367493566,0,0,0.007,0,0,0,0
countryA,2020-01-16,0.214906468036442,0.240893135760739,0.304598601747748,0.395575804216387,0.470288383086942,1,0,1,0,0,5,3,0,1.84276383243638,3.444e-07,0,0.9999996556,4,1,0,0.539768384300038,0,1,0.007,0,0,0,0
countryA,2020-01-17,0.214906468036442,0.240893135760739,0.304598601747748,0.395575804216387,0.470288383086942,1,0,1,0,0,7,4,0,1.84276375504027,3.864e-07,0,0.9999996136,5,1,0,0.561923905994141,0,0,0.007,0,0,0,0
countryA,2020-01-18,0.214906468036442,0.240893135760739,0.304598601747748,0.395575804216387,0.470288383086942,1,0,1,0,0,7,4,0,1.84276364668572,4.452e-07,0,0.9999995548,6,1,0,0.480671626576348,0,2,0.007,0,0,0,0
countryA,2020-01-19,0.214906468036442,0.240893135760739,0.304598601747748,0.395575804216387,0.470288383086942,1,0,1,0,0,4,5,0,1.84276353833117,5.04e-07,0,0.999999496,7,1,0,0.330498636398616,0,2,0.007,0,0,0,0
countryA,2020-01-20,0.214906468036442,0.240893135760739,0.304598601747748,0.395575804216387,0.470288383086942,1,0,1,0,0,15,5,2,1.84276347641429,5.376e-07,0,0.9999994624,1,1,1,0.475496749639799,0,1,0.007,0,0,0,0
countryA,2020-01-21,0.214906468036442,0.240893135760739,0.304598601747748,0.395575804216387,0.470288383086942,1,0,1,0,0,13,8,0,1.84276324422596,6.636e-07,0,0.9999993364,2,1,1,0.786654469688158,0,1,0.007,0,0,0,0
countryA,2020-01-22,0.214906468036442,0.240893135760739,0.304598601747748,0.395575804216387,0.470288383086942,1,0,1,0,0,9,7,0,1.84276304299608,7.728e-07,0,0.9999992272,3,1,1,1.08740331561951,0,2,0.007,0,0,0,0
countryA,2020-01-23,0.214906468036442,0.240893135760739,0.304598601747748,0.395575804216387,0.470288383086942,1,0,1,0,0,5,8,0,1.84276290368309,8.484e-07,0,0.9999991516,4,1,1,1.16407723709465,0,5,0.007,0,0,0,0
countryA,2020-01-24,0.214906468036442,0.240893135760739,0.304598601747748,0.395575804216387,0.470288383086942,1,0,1,0,0,12,8,0,1.84276282628698,8.904e-07,0,0.9999991096,5,1,1,1.25688857126002,0,0,0.007,0,0,0,0
