country,date,true_val_NPI1,true_val_NPI2,true_val_NPI3,true_val_NPI4,true_val_NPI5,NPI1,NPI2,NPI3,NPI4,NPI5,I_t_1,I_t_2,I_t_3,I_t_4,I_t,C_t_1,C_t_2,C_t_3,C_t_4,C_t,Hicu_t_1,Hicu_t_2,Hicu_t_3,Hicu_t_4,Hicu_t,R_t_1,R_t_2,R_t_3,R_t_4,R_t,cf1_1,cf1_2,cf1_3,cf1_4,cf1,cf2,cf_full_1,cf_full_2,cf_full_3,cf_full_4,cf_full,weekday,rho_period,repC_t,ErepC_t,D_t_1,D_t_2,D_t_3,D_t_4,D_t,H_t_1,H_t_2,H_t_3,H_t_4,H_t,ifr_t_m_1,ifr_t_m_2,ifr_t_m_3,ifr_t_m_4,ifr_t_m,first_vaccination,second_vaccination,alpha,delta
countryA,2020-01-01,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,0,0,0,8,6,1,5,20,1,1,0,1,3,0,0,0,0,0,3.23813090272264,3.23813090272264,3.23813090272264,3.23813090272264,12.9525236108906,0,0,0,0,0,0,1,1,1,1,4,3,1,0,0.0213897543656256,0,0,0,0,0,0,0,0,0,0,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-02,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,0,0,0,0,3,2,1,6,1,1,0,0,2,0,0,0,0,0,3.23813003231305,3.23813024991545,3.23813079392144,3.23813035871665,12.9525214348666,2.688e-07,2.016e-07,3.36e-08,1.68e-07,6.72e-07,0,0.9999997312,0.9999997984,0.9999999664,0.999999832,3.999999328,4,1,0,0.072671347894737,0,0,0,0,0,0,0,0,0,0,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-03,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,0,0,0,0,2,1,0,3,1,1,1,1,4,0,0,0,0,0,3.23813003231305,3.23812992351185,3.23813057631904,3.23813024991545,12.9525207820594,2.688e-07,3.024e-07,1.008e-07,2.016e-07,8.736e-07,0,0.9999997312,0.9999996976,0.9999998992,0.9999997984,3.9999991264,5,1,0,0.173872974292003,0,0,0,0,0,0,0,0,0,0,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-04,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,0,0,0,2,3,0,2,7,1,2,1,1,5,0,0,0,0,0,3.23813003231305,3.23812970590946,3.23813046751785,3.23813024991545,12.9525204556558,2.688e-07,3.696e-07,1.344e-07,2.016e-07,9.744e-07,0,0.9999997312,0.9999996304,0.9999998656,0.9999997984,3.9999990256,6,1,0,0.236601145284807,0,0,0,0,0,0,0,0,0,0,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-05,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,1,0,0,2,1,3,1,7,2,2,0,1,5,0,0,0,0,0,2.42187218880254,2.4218718633028,2.42187267705213,2.4218723515524,9.68748908070987,3.36e-07,4.704e-07,1.344e-07,2.688e-07,1.2096e-06,0,0.999999664,0.9999995296,0.9999998656,0.9999997312,3.9999987904,7,1,0,0.206988106000129,0,0,0,0,0,0,0,0,0,0,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-06,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,1,0,0,4,2,5,2,13,1,2,2,1,6,0,0,0,0,0,2.42187202605267,2.42187178192787,2.42187243292733,2.42187227017747,9.68748851108534,4.032e-07,5.04e-07,2.352e-07,3.024e-07,1.4448e-06,0,0.9999995968,0.999999496,0.9999997648,0.9999996976,3.9999985552,1,1,1,0.325226985106064,0,0,0,0,0,0,1,0,1,2,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-07,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,1,0,0,4,1,3,5,13,2,1,2,2,7,0,0,0,0,0,2.42187170055294,2.42187161917801,2.42187202605267,2.4218721074276,9.68748745321122,5.376e-07,5.712e-07,4.032e-07,3.696e-07,1.8816e-06,0,0.9999994624,0.9999994288,0.9999995968,0.9999996304,3.9999981184,2,1,0,0.676161658828818,0,0,0,0,0,0,0,0,0,0,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-08,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,1,0,0,2,2,3,6,13,3,2,2,2,9,0,0,0,0,0,2.42187137505321,2.42187153780307,2.42187178192787,2.42187170055294,9.68748639533709,6.72e-07,6.048e-07,5.04e-07,5.376e-07,2.3184e-06,0,0.999999328,0.9999993952,0.999999496,0.9999994624,3.9999976816,3,1,1,1.01354558961177,0,0,0,0,0,0,0,0,0,0,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-09,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,1,0,0,3,5,4,3,15,2,2,2,3,9,0,0,0,0,0,2.42187121230334,2.42187137505321,2.42187153780307,2.42187121230334,9.68748533746296,7.392e-07,6.72e-07,6.048e-07,7.392e-07,2.7552e-06,0,0.9999992608,0.999999328,0.9999993952,0.9999992608,3.9999972448,4,1,0,1.13558245012831,0,0,0,0,0,0,0,1,0,1,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-10,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,1,0,0,8,3,3,2,16,3,2,3,3,11,0,0,0,0,0,2.42187096817854,2.42187096817854,2.42187121230334,2.42187096817854,9.68748411683897,8.4e-07,8.4e-07,7.392e-07,8.4e-07,3.2592e-06,0,0.99999916,0.99999916,0.9999992608,0.99999916,3.9999967408,5,1,0,1.31112938257025,0,0,0,0,0,0,2,0,0,2,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-11,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,1,0,0,5,4,7,8,24,3,3,3,3,12,0,0,0,0,0,2.42187031717908,2.42187072405374,2.42187096817854,2.42187080542868,9.68748281484004,1.1088e-06,9.408e-07,8.4e-07,9.072e-07,3.7968e-06,0,0.9999988912,0.9999990592,0.99999916,0.9999990928,3.9999962032,6,1,1,1.20401101050524,0,0,0,0,0,0,0,2,1,3,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-12,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,1,0,0,9,6,11,6,32,5,3,4,4,16,0,0,0,0,0,2.42186991030441,2.42187039855401,2.42187039855401,2.42187015442921,9.68748086184165,1.2768e-06,1.0752e-06,1.0752e-06,1.176e-06,4.6032e-06,0,0.9999987232,0.9999989248,0.9999989248,0.999998824,3.9999953968,7,1,0,0.864233695204063,0,0,0,0,0,1,0,1,1,3,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-13,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,1,0,0,5,7,8,9,29,4,4,5,4,17,0,0,0,0,0,2.42186917793002,2.42186991030441,2.42186950342975,2.42186966617962,9.6874782578438,1.5792e-06,1.2768e-06,1.4448e-06,1.3776e-06,5.6784e-06,0,0.9999984208,0.9999987232,0.9999985552,0.9999986224,3.9999943216,1,1,2,1.27950366743758,0,0,0,0,0,0,1,0,2,3,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-14,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,1,0,0,12,9,11,6,38,6,4,6,5,21,0,0,0,1,1,2.42186877105535,2.42186934067988,2.42186885243029,2.42186893380522,9.68747589797075,1.7472e-06,1.512e-06,1.7136e-06,1.68e-06,6.6528e-06,0,0.9999982528,0.999998488,0.9999982864,0.99999832,3.9999933472,2,1,0,2.24021807329063,0,0,0,0,0,0,0,3,4,7,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-15,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,1,0,0,11,9,12,6,38,7,6,7,6,26,0,0,0,0,0,2.42186779455616,2.42186860830549,2.42186795730603,2.42186844555562,9.6874728057233,2.1504e-06,1.8144e-06,2.0832e-06,1.8816e-06,7.9296e-06,0,0.9999978496,0.9999981856,0.9999979168,0.9999981184,3.9999920704,3,1,3,3.18894440761088,0,0,0,0,0,1,2,2,0,5,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-16,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,1,0,0,15,8,17,8,48,8,6,9,5,28,1,0,0,0,1,2.4218668994319,2.42186787593109,2.42186698080683,2.42186795730603,9.68746971347585,2.52e-06,2.1168e-06,2.4864e-06,2.0832e-06,9.2064e-06,0,0.99999748,0.9999978832,0.9999975136,0.9999979168,3.9999907936,4,1,5,3.50251307886948,0,0,0,0,0,1,2,4,1,8,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-17,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,1,0,0,20,17,21,19,77,9,7,10,8,34,0,0,1,1,2,2.4218656788079,2.42186722493163,2.42186559743297,2.42186730630656,9.68746580747907,3.024e-06,2.3856e-06,3.0576e-06,2.352e-06,1.08192e-05,0,0.999996976,0.9999976144,0.9999969424,0.999997648,3.9999891808,5,1,5,4.00132527985793,0,0,0,0,0,1,0,1,1,3,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-18,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,1,0,0,28,20,24,18,90,13,10,13,9,45,0,0,1,0,1,2.42186405130925,2.42186584155777,2.42186388855938,2.42186576018284,9.68745954160924,3.696e-06,2.9568e-06,3.7632e-06,2.9904e-06,1.34064e-05,0,0.999996304,0.9999970432,0.9999962368,0.9999970096,3.9999865936,6,1,4,3.72652993440918,0,0,0,0,0,1,0,3,2,6,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
