country,date,true_val_NPI1,true_val_NPI2,true_val_NPI3,true_val_NPI4,true_val_NPI5,NPI1,NPI2,NPI3,NPI4,NPI5,I_t_1,I_t_2,I_t_3,I_t_4,I_t,C_t_1,C_t_2,C_t_3,C_t_4,C_t,Hicu_t_1,Hicu_t_2,Hicu_t_3,Hicu_t_4,Hicu_t,R_t_1,R_t_2,R_t_3,R_t_4,R_t,cf1_1,cf1_2,cf1_3,cf1_4,cf1,cf2,cf_full_1,cf_full_2,cf_full_3,cf_full_4,cf_full,weekday,rho_period,repC_t,ErepC_t,D_t_1,D_t_2,D_t_3,D_t_4,D_t,H_t_1,H_t_2,H_t_3,H_t_4,H_t,ifr_t_m_1,ifr_t_m_2,ifr_t_m_3,ifr_t_m_4,ifr_t_m,first_vaccination,second_vaccination,alpha,delta
countryA,2020-01-01,0.220114867130158,0.257027067025455,0.293733125946813,0.382405174330737,0.454415233417299,0,0,0,0,0,11,11,5,7,34,1,1,1,1,4,0,0,0,0,0,3.08166669116498,3.08166669116498,3.08166669116498,3.08166669116498,12.3266667646599,0,0,0,0,0,0,1,1,1,1,4,3,1,0,0.0285196724875008,0,0,0,0,0,0,0,0,0,0,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-02,0.220114867130158,0.257027067025455,0.293733125946813,0.382405174330737,0.454415233417299,0,0,0,0,0,4,3,1,2,10,2,2,0,1,5,0,0,0,0,0,3.08166555218097,3.08166555218097,3.08166617344498,3.08166596635698,12.3266632441639,3.696e-07,3.696e-07,1.68e-07,2.352e-07,1.1424e-06,0,0.9999996304,0.9999996304,0.999999832,0.9999997648,3.9999988576,4,1,0,0.113712280323032,0,0,0,0,0,0,0,0,0,0,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-03,0.220114867130158,0.257027067025455,0.293733125946813,0.382405174330737,0.454415233417299,0,0,0,0,0,6,2,3,1,12,3,2,2,1,8,0,0,0,0,0,3.08166513800497,3.08166524154897,3.08166606990098,3.08166575926897,12.3266622087239,5.04e-07,4.704e-07,2.016e-07,3.024e-07,1.4784e-06,0,0.999999496,0.9999995296,0.9999997984,0.9999996976,3.9999985216,5,1,0,0.305611661545231,0,0,0,0,0,0,0,0,0,0,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-04,0.220114867130158,0.257027067025455,0.293733125946813,0.382405174330737,0.454415233417299,0,0,0,0,0,4,5,3,5,17,3,3,1,2,9,0,0,0,0,0,3.08166451674096,3.08166503446097,3.08166575926897,3.08166565572497,12.3266609661959,7.056e-07,5.376e-07,3.024e-07,3.36e-07,1.8816e-06,0,0.9999992944,0.9999994624,0.9999996976,0.999999664,3.9999981184,6,1,1,0.442024151703273,0,0,0,0,0,0,0,0,0,0,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-05,0.220114867130158,0.257027067025455,0.293733125946813,0.382405174330737,0.454415233417299,0,0,0,0,0,3,7,8,12,30,3,3,2,3,11,0,0,0,0,0,3.08166410256496,3.08166451674096,3.08166544863697,3.08166513800497,12.3266592059479,8.4e-07,7.056e-07,4.032e-07,5.04e-07,2.4528e-06,0,0.99999916,0.9999992944,0.9999995968,0.999999496,3.9999975472,7,1,0,0.397610360634553,0,0,0,0,0,0,0,0,0,0,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-06,0.220114867130158,0.257027067025455,0.293733125946813,0.382405174330737,0.454415233417299,0,0,0,0,0,4,16,3,9,32,4,5,3,5,17,0,0,0,0,0,3.08166379193296,3.08166379193296,3.08166462028497,3.08166389547696,12.3266560996278,9.408e-07,9.408e-07,6.72e-07,9.072e-07,3.4608e-06,0,0.9999990592,0.9999990592,0.999999328,0.9999990928,3.9999965392,1,1,0,0.644933408121456,0,0,0,0,0,0,0,0,0,0,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-07,0.220114867130158,0.257027067025455,0.293733125946813,0.382405174330737,0.454415233417299,0,0,0,0,0,8,8,6,9,31,4,6,3,5,18,0,0,0,0,0,3.08166337775696,3.08166213522895,3.08166430965296,3.08166296358095,12.3266527862198,1.0752e-06,1.4784e-06,7.728e-07,1.2096e-06,4.536e-06,0,0.9999989248,0.9999985216,0.9999992272,0.9999987904,3.999995464,2,1,1,1.44902669297543,0,0,0,0,0,0,0,0,0,0,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-08,0.220114867130158,0.257027067025455,0.293733125946813,0.382405174330737,0.454415233417299,0,0,0,0,0,16,20,7,7,50,5,8,4,6,23,0,0,0,0,0,3.08166254940495,3.08166130687694,3.08166368838896,3.08166203168494,12.3266495763558,1.344e-06,1.7472e-06,9.744e-07,1.512e-06,5.5776e-06,0,0.999998656,0.9999982528,0.9999990256,0.999998488,3.9999944224,3,1,4,2.29467864876262,0,0,0,0,0,2,1,0,0,3,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-09,0.220114867130158,0.257027067025455,0.293733125946813,0.382405174330737,0.454415233417299,0,0,0,0,0,18,23,10,14,65,8,10,5,7,30,0,0,0,0,0,3.08166089270094,3.08165923599692,3.08166296358095,3.08166130687694,12.3266443991557,1.8816e-06,2.4192e-06,1.2096e-06,1.7472e-06,7.2576e-06,0,0.9999981184,0.9999975808,0.9999987904,0.9999982528,3.9999927424,4,1,3,2.74975359653251,0,0,0,0,0,0,0,0,1,1,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-10,0.220114867130158,0.257027067025455,0.293733125946813,0.382405174330737,0.454415233417299,0,0,0,0,0,27,20,15,20,82,11,12,6,8,37,0,1,0,1,2,3.08165902890892,3.0816568544849,3.08166192814094,3.08165985726093,12.3266376687957,2.4864e-06,3.192e-06,1.5456e-06,2.2176e-06,9.4416e-06,0,0.9999975136,0.999996808,0.9999984544,0.9999977824,3.9999905584,5,1,7,3.44961839269789,0,0,0,0,0,0,1,1,5,7,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
