country,date,true_val_NPI1,true_val_NPI2,true_val_NPI3,true_val_NPI4,true_val_NPI5,NPI1,NPI2,NPI3,NPI4,NPI5,I_t,C_t,Hicu_t,R_t,cf1,cf2,cf_full,weekday,rho_period,repC_t,ErepC_t,D_t,H_t,ifr_t_m,first_vaccination,second_vaccination,alpha,delta
countryA,2020-01-01,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,0,0,0,8,1,0,3.23813090272264,0,0,1,3,1,0,0.0071299181218752,0,0,0.007,0,0,0,0
countryA,2020-01-02,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,0,0,0,2,1,0,3.23813068512024,6.72e-08,0,0.9999999328,4,1,0,0.0266262326025384,0,0,0.007,0,0,0,0
countryA,2020-01-03,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,0,0,0,0,2,0,3.23813063071964,8.4e-08,0,0.999999916,5,1,0,0.0704231910080406,0,0,0.007,0,0,0,0
countryA,2020-01-04,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,0,0,0,11,2,0,3.23813063071964,8.4e-08,0,0.999999916,6,1,0,0.101814019592657,0,0,0.007,0,0,0,0
countryA,2020-01-05,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,0,0,0,5,3,0,3.23813033151635,1.764e-07,0,0.9999998236,7,1,0,0.093512482065379,0,0,0.007,0,0,0,0
countryA,2020-01-06,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,0,0,0,9,4,0,3.23813019551485,2.184e-07,0,0.9999997816,1,1,0,0.153589781626965,0,0,0.007,0,0,0,0
countryA,2020-01-07,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,0,0,0,12,6,0,3.23812995071215,2.94e-07,0,0.999999706,2,1,0,0.359993493664834,0,0,0.007,0,0,0,0
countryA,2020-01-08,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,0,0,0,21,7,0,3.23812962430856,3.948e-07,0,0.9999996052,3,1,0,0.600927939283795,0,0,0.007,0,0,0,0
countryA,2020-01-09,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,0,0,0,16,10,0,3.23812905310227,5.712e-07,0,0.9999994288,4,1,1,0.768978583782784,0,1,0.007,0,0,0,0
countryA,2020-01-10,0.228531627806313,0.252310424841915,0.290455072661682,0.390242122344042,0.470484170507809,0,0,1,0,0,26,11,0,2.42187129367827,7.056e-07,0,0.9999992944,5,1,1,1.01791854360229,0,1,0.007,0,0,0,0
